SO43697,10769,14,2010-12-29,2011-01-05,2011-01-10,3578,1,3578
SO43698,17390,26,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43699,14864,26,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43700,3502,46,2010-12-29,2011-01-05,2011-01-10,699,1,699
SO43701,4,26,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43702,16646,15,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43703,5625,14,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43704,6,31,2010-12-30,2011-01-06,2011-01-11,3375,1,3375
SO43705,12,24,2010-12-30,2011-01-06,2011-01-11,3400,1,3400
SO43706,16622,16,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43707,16617,16,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43708,9043,43,2010-12-31,2011-01-07,2011-01-12,699,1,699
SO43709,5352,17,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43710,5518,18,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43711,16607,18,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43712,2514,15,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43713,16602,14,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43714,2592,15,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43715,5484,18,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43716,5530,15,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43717,14250,46,2011-01-02,2011-01-09,2011-01-14,699,1,699
SO43718,16669,15,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43719,16613,16,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43720,2265,15,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43721,2591,14,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43722,2582,16,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43723,3521,44,2011-01-04,2011-01-11,2011-01-16,699,1,699
SO43724,5521,15,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43725,2259,15,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43726,3561,44,2011-01-05,2011-01-12,2011-01-17,699,1,699
SO43727,5608,15,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43728,16667,17,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43729,239,26,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
SO43730,14862,26,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
SO43731,5630,18,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43732,26,30,2011-01-06,2011-01-13,2011-01-18,3375,1,3375
SO43733,16578,16,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43734,16605,16,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43735,5523,14,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43736,3,26,2011-01-07,2011-01-14,2011-01-19,3400,1,3400
SO43737,2262,15,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43738,607,16,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43739,2564,14,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43740,5528,16,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43741,16672,14,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43742,2577,18,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43743,8,27,2011-01-09,2011-01-16,2011-01-21,3400,1,3400
SO43744,5632,17,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43745,5515,15,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
SO43746,5617,16,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
SO43747,16624,18,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43748,16626,17,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43749,16637,18,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43750,592,15,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43751,593,17,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43752,2266,15,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43753,5483,14,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43754,16618,16,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43755,16671,15,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43756,8942,44,2011-01-12,2011-01-19,2011-01-24,699,1,699
SO43757,18,30,2011-01-12,2011-01-19,2011-01-24,3375,1,3375
SO43758,16647,14,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43759,2258,14,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43760,5353,18,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43761,5494,14,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43762,16579,18,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43763,5526,17,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43764,5613,14,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43765,11,26,2011-01-14,2011-01-21,2011-01-26,3400,1,3400
SO43766,5519,17,2011-01-15,2011-01-22,2011-01-27,3578,1,3578
SO43767,2,30,2011-01-15,2011-01-22,2011-01-27,3375,1,3375
SO43768,16650,16,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43769,10660,16,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43770,16615,16,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43771,3560,43,2011-01-16,2011-01-23,2011-01-28,699,1,699
SO43772,5525,16,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43773,5527,18,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43774,5349,17,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43775,28,27,2011-01-16,2011-01-23,2011-01-28,3400,1,3400
SO43776,2261,18,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43777,5516,15,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43778,19,25,2011-01-17,2011-01-24,2011-01-29,3400,1,3400
SO43779,14253,41,2011-01-17,2011-01-24,2011-01-29,699,1,699
SO43780,600,15,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43781,5496,16,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43782,5517,16,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43783,5621,16,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43784,16668,14,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43785,602,15,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43786,608,15,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43787,18386,24,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43788,240,31,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43789,14866,31,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43790,14858,24,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43791,5485,18,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43792,5624,16,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43793,1,24,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43794,30,27,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43795,16616,16,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43796,6957,49,2011-01-20,2011-01-27,2011-02-01,699,1,699
SO43797,5346,16,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43798,5522,14,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43799,5637,16,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43800,10711,15,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43801,2584,15,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43802,594,16,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43803,10742,18,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43804,2586,14,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43805,3511,42,2011-01-22,2011-01-29,2011-02-03,699,1,699
SO43806,5524,16,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43807,612,16,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43808,2260,17,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43809,5351,14,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43810,5,25,2011-01-23,2011-01-30,2011-02-04,3400,1,3400
SO43811,27,26,2011-01-23,2011-01-30,2011-02-04,3400,1,3400
SO43812,16663,16,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43813,17391,30,2011-01-24,2011-01-31,2011-02-05,3375,1,3375
SO43814,14867,30,2011-01-24,2011-01-31,2011-02-05,3375,1,3375
SO43815,5495,15,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43816,5497,18,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43817,5520,14,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43818,5529,16,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43819,7,26,2011-01-24,2011-01-31,2011-02-05,3400,1,3400
SO43820,16652,16,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43821,16664,14,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43822,16670,17,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43823,8943,49,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43824,3559,47,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43825,5350,17,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43826,9,28,2011-01-25,2011-02-01,2011-02-06,3375,1,3375
SO43827,14251,47,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43828,16606,14,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43829,16612,14,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43830,5348,15,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43831,29,29,2011-01-26,2011-02-02,2011-02-07,3375,1,3375
SO43832,2585,14,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43833,10728,14,2011-01-27,2011-02-03,2011-02-08,3578,1,3578
SO43834,17394,28,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43835,8803,28,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43836,15621,40,2011-01-27,2011-02-03,2011-02-08,699,1,699
SO43837,10,30,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
